filament_id,lat_centroid,lon_centroid,dec_time,date,product_id,datetime,mgrs_tile
3044,43.81679756977508,9.269177620409277,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3045,43.81144695355033,9.316533602288796,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3046,43.802558472408265,9.599650443438014,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3047,43.76209080757625,9.581928190925172,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3048,43.766084298312734,9.360988583892762,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3049,43.74438931908338,9.287035502123818,2018.296997114409,2018-04-19,S2A_MSIL1C_20180419T101031_N0500_R022_T32TNP_20230724T113059.SAFE,2018-04-19T10:18:47.591Z,Unknown
3050,43.92778646873796,10.120973804529104,2019.119278221715,2019-02-13,S2A_MSIL1C_20190213T101131_N0500_R022_T32TNP_20221128T153324.SAFE,2019-02-13T10:18:42.929Z,Unknown
3051,44.01543884821922,9.759786834210257,2019.5025452181635,2019-07-03,S2A_MSIL1C_20190703T101031_N0500_R022_T32TNP_20230717T022229.SAFE,2019-07-03T10:18:51.207Z,Unknown
3052,44.00224027712689,9.938583449543174,2020.487447189334,2020-06-27,S2A_MSIL1C_20200627T101031_N0500_R022_T32TNP_20230329T045046.SAFE,2020-06-27T10:18:47.503Z,Unknown
3053,43.95701794251357,9.979442549870178,2021.0888932331304,2021-02-02,S2A_MSIL1C_20210202T101231_N0500_R022_T32TNP_20230529T235717.SAFE,2021-02-02T10:18:46.2Z,Unknown
3054,43.92090644485511,9.96127444971684,2021.0888932331304,2021-02-02,S2A_MSIL1C_20210202T101231_N0500_R022_T32TNP_20230529T235717.SAFE,2021-02-02T10:18:46.2Z,Unknown
3055,43.83629168002957,10.061768138839716,2021.0888932331304,2021-02-02,S2A_MSIL1C_20210202T101231_N0500_R022_T32TNP_20230529T235717.SAFE,2021-02-02T10:18:46.2Z,Unknown
3056,43.59677462215076,10.221438495016493,2021.0888932331304,2021-02-02,S2A_MSIL1C_20210202T101231_N0500_R022_T32TNP_20230529T235717.SAFE,2021-02-02T10:18:46.2Z,Unknown
3057,43.84825712239637,10.21525761106268,2021.226032629376,2021-03-24,S2A_MSIL1C_20210324T101021_N0500_R022_T32TNP_20230607T160409.SAFE,2021-03-24T10:18:44.76Z,Unknown
3058,43.48128143001357,9.667023394082944,2016.8262050951223,2016-10-29,S2A_MSIL1C_20161029T102132_N0500_R065_T32TNP_20231026T000123.SAFE,2016-10-29T10:28:39.653Z,Unknown
3059,43.98949098408998,9.44555527584733,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3060,43.97257821873581,10.066634270530242,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3061,43.95756080971045,9.898538447488804,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3062,43.94733599984211,10.103840968225208,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3063,43.86565727388105,10.08426912961363,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3064,43.78232791731852,10.120973804529104,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3065,43.78114835528044,10.092171935024778,2017.154609303653,2017-02-26,S2A_MSIL1C_20170226T102021_N0500_R065_T32TNP_20231025T025019.SAFE,2017-02-26T10:28:36.154Z,Unknown
3066,43.90225407734877,10.085971401810973,2017.1820068176053,2017-03-08,S2A_MSIL1C_20170308T102021_N0500_R065_T32TNP_20231024T022024.SAFE,2017-03-08T10:28:34.945Z,Unknown
3067,43.826953404895,10.08974046580936,2017.1820068176053,2017-03-08,S2A_MSIL1C_20170308T102021_N0500_R065_T32TNP_20231024T022024.SAFE,2017-03-08T10:28:34.945Z,Unknown
3068,43.82459594828695,10.23028400979694,2017.2366901636224,2017-03-28,S2A_MSIL1C_20170328T102021_N0500_R065_T32TNP_20231113T172048.SAFE,2017-03-28T10:28:37.407Z,Unknown
3069,43.93756201532747,9.75525171860664,2018.5792738140535,2018-07-31,S2A_MSIL1C_20180731T102021_N0500_R065_T32TNP_20230820T225749.SAFE,2018-07-31T10:28:43.114Z,Unknown
3070,44.24999630969213,9.097146774888811,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TMP_20221129T052846.SAFE,2019-02-06T10:28:43.671Z,Unknown
3071,44.02962862112722,9.819187137797666,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3072,44.00630863640684,9.879356655204251,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3073,44.003053970826414,9.89401870929272,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3074,43.98207527039531,9.951150454840134,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3075,43.97095000391113,9.968713374892095,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3076,43.959913178400576,9.71809385943451,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3077,43.93348906066079,10.082201989211413,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3078,43.94805993651183,9.843167730945297,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3079,43.898722166056,9.802049520863411,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3080,43.88540775436779,9.8642003330495,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3081,43.88595125611663,9.613552119329375,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3082,43.88305252471161,9.800212921237588,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3083,43.859314035840086,9.735757250620294,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3084,43.86502297938296,10.07040512307149,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3085,43.86185140919732,9.89401870929272,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3086,43.86103583626445,9.618471935536691,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3087,43.847803928058,9.94200010587365,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3088,43.85623279959688,9.640972556988846,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3089,43.85224508950441,9.89133106017116,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3090,43.84544726402558,10.077216101557672,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3091,43.848710313417214,9.723614488795857,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3092,43.836019711307735,9.726435856028353,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3093,43.83039875737999,9.87251256112179,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3094,43.82214772555329,9.921129635504952,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3095,43.81788577436155,10.00649679964048,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3096,43.80582377621003,9.803886037946963,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3097,43.81244456097562,9.70520949213835,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3098,43.79357800449333,9.873490359081426,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3099,43.769260756756005,9.748264204520847,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3100,43.76508594950776,9.98931577432604,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3101,43.65689816580809,10.118058085795134,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3102,43.65135207550423,10.146356037800224,2019.0999389269407,2019-02-06,S2A_MSIL1C_20190206T102211_N0500_R065_T32TNP_20221129T052846.SAFE,2019-02-06T10:28:39.6Z,Unknown
3103,43.812172487809775,10.1508478958711,2019.127322900812,2019-02-16,S2A_MSIL1C_20190216T102111_N0500_R065_T32TNP_20221125T132013.SAFE,2019-02-16T10:28:39.129Z,Unknown
3104,43.86529482067975,9.921373796264207,2019.2371965690008,2019-03-28,S2A_MSIL1C_20190328T102021_N0500_R065_T32TNP_20221115T050416.SAFE,2019-03-28T10:28:42.248Z,Unknown
3105,43.85360456500655,10.178880462571646,2019.675166825216,2019-09-04,S2A_MSIL1C_20190904T102021_N0500_R065_T32TNP_20230702T101739.SAFE,2019-09-04T10:28:42.535Z,Unknown
3106,43.65935283809471,10.243245880481432,2019.7298654236429,2019-09-24,S2A_MSIL1C_20190924T102021_N0500_R065_T32TNP_20230701T123147.SAFE,2019-09-24T10:28:43.373Z,Unknown
3107,44.22793332537265,9.190088067928576,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3108,43.81453041571226,9.413430576190772,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3109,43.79285225362173,9.433079054105496,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3110,43.76036626693802,9.271162212879434,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3111,43.59577360012063,9.370146024741862,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3112,43.58230378291312,9.15875784330942,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3113,43.5738381936704,9.401686426562714,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3114,43.543516778199326,9.233190258177316,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3115,43.53796085788648,9.374352812587716,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3116,43.51828359146431,9.44073817469936,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNP_20230503T140151.SAFE,2020-05-21T10:28:48.332Z,Unknown
3117,43.30070996649695,9.304885623502196,2020.3864280383525,2020-05-21,S2A_MSIL1C_20200521T102031_N0500_R065_T32TNN_20230503T140151.SAFE,2020-05-21T10:29:02.535Z,Unknown
3118,43.90442746034631,10.149148332154104,2020.768951060008,2020-10-08,S2A_MSIL1C_20201008T102031_N0500_R065_T32TNP_20230415T070308.SAFE,2020-10-08T10:28:48.523Z,Unknown
3119,43.78087614549317,10.20749987963418,2020.768951060008,2020-10-08,S2A_MSIL1C_20201008T102031_N0500_R065_T32TNP_20230415T070308.SAFE,2020-10-08T10:28:48.523Z,Unknown
3120,43.74311825079316,9.028581697177133,2020.7962713772515,2020-10-18,S2A_MSIL1C_20201018T102041_N0500_R065_T32TMP_20230414T050856.SAFE,2020-10-18T10:28:52.37Z,Unknown
3121,43.69852381855176,9.10387246682662,2020.7962713772515,2020-10-18,S2A_MSIL1C_20201018T102041_N0500_R065_T32TMP_20230414T050856.SAFE,2020-10-18T10:28:52.37Z,Unknown
3122,43.40182897537911,9.017975084297134,2020.7962713772515,2020-10-18,S2A_MSIL1C_20201018T102041_N0500_R065_T32TMP_20230414T050856.SAFE,2020-10-18T10:28:52.37Z,Unknown
3123,44.06468203595182,9.658300668143289,2020.8237076249748,2020-10-28,S2A_MSIL1C_20201028T102141_N0500_R065_T32TNP_20230413T124819.SAFE,2020-10-28T10:28:47.915Z,Unknown
3124,44.03893602526304,9.935410583946656,2020.8237076249748,2020-10-28,S2A_MSIL1C_20201028T102141_N0500_R065_T32TNP_20230413T124819.SAFE,2020-10-28T10:28:47.915Z,Unknown
